customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,Monthly_Charge_Range,Predicted_Churn_Probability,Churn_Risk_Percentage,Predicted_Churn,Prediction_Correct,Churn_Risk_Category,Churn_Risk_Score,Retention_Priority,Retention_Action,High_Risk_Flag
4124-MMETB,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,Yes,13–24 Months,$90.01–$120,0.6452568792179868,64.53,Yes,Yes,High Risk,65,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
3671-SHRSP,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,319.15,Yes,0–12 Months,$70.01–$90,0.515789692244686,51.58,Yes,Yes,Medium Risk,52,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0979-MOZQI,Male,0,Yes,No,62,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,2337.45,No,49–72 Months,$35.01–$70,0.021908116820427294,2.19,No,Yes,Low Risk,2,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
2732-ISEZX,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,104.3,No,0–12 Months,$0–$35,0.21916007778699925,21.92,No,Yes,Low Risk,22,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3313-QKNKB,Male,0,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,Yes,49–72 Months,$70.01–$90,0.18627194116144366,18.63,No,No,Low Risk,19,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0323-XWWTN,Male,0,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,121.25,No,0–12 Months,$0–$35,0.07898495541158114,7.9,No,Yes,Low Risk,8,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1937-OTUKY,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.2,7015.9,No,49–72 Months,$90.01–$120,0.040293929970571365,4.03,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1573-LGXBA,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,5598.0,No,49–72 Months,$90.01–$120,0.14916795813268385,14.92,No,Yes,Low Risk,15,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1764-VUUMT,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,1269.1,No,49–72 Months,$0–$35,0.0021448987405060472,0.21,No,Yes,Low Risk,0,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5073-WXOYN,Female,0,No,No,60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.8,3027.4,Yes,49–72 Months,$35.01–$70,0.1897123854320926,18.97,No,No,Low Risk,19,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4713-ZBURT,Male,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,4634.35,No,25–48 Months,$90.01–$120,0.12452322379155428,12.45,No,Yes,Low Risk,12,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3050-GBUSH,Female,0,No,No,3,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,113.95,No,0–12 Months,$0–$35,0.5860146862974578,58.6,Yes,No,Medium Risk,59,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0207-MDKNV,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,Yes,13–24 Months,$90.01–$120,0.42971132480938884,42.97,No,No,Medium Risk,43,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7876-AEHIG,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),60.15,3077.0,No,49–72 Months,$35.01–$70,0.03523370637535455,3.52,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7945-HLKEA,Female,0,No,No,60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,64.75,4039.5,No,49–72 Months,$35.01–$70,0.02532669924747853,2.53,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9342-VNIMQ,Male,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.2,No,25–48 Months,$35.01–$70,0.1899360970098658,18.99,No,Yes,Low Risk,19,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9851-KIELU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,0–12 Months,$90.01–$120,0.5150041780463317,51.5,Yes,Yes,Medium Risk,52,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
3523-BRGUW,Male,1,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,504.2,No,25–48 Months,$0–$35,0.03770968826837693,3.77,No,Yes,Low Risk,4,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3908-BLSYF,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.9,497.55,Yes,0–12 Months,$70.01–$90,0.6289571163050004,62.9,Yes,Yes,High Risk,63,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
3199-NPKCN,Female,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.25,7511.65,No,49–72 Months,$90.01–$120,0.1682536678622391,16.83,No,Yes,Low Risk,17,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5170-PTRKA,Female,0,Yes,Yes,49,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,1782.0,No,49–72 Months,$35.01–$70,0.027650892473385803,2.77,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4661-NJEUX,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,20.05,No,0–12 Months,$0–$35,0.2582498631984781,25.82,No,Yes,Low Risk,26,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
2123-AGEEN,Female,1,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.35,609.65,No,0–12 Months,$70.01–$90,0.732958113682145,73.3,Yes,No,High Risk,73,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
1258-YMZNM,Female,1,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5,2857.6,No,25–48 Months,$90.01–$120,0.33303955711962074,33.3,No,Yes,Medium Risk,33,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No,25–48 Months,$90.01–$120,0.18322234666265963,18.32,No,Yes,Low Risk,18,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7549-MYGPK,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.55,6215.35,Yes,49–72 Months,$90.01–$120,0.22669071100680394,22.67,No,No,Low Risk,23,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5898-IGSLP,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.3,2823.0,No,25–48 Months,$70.01–$90,0.2445276324755689,24.45,No,Yes,Low Risk,24,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
3804-RVTGV,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.9,Yes,49–72 Months,$90.01–$120,0.37117794986659225,37.12,No,No,Medium Risk,37,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6259-WJQLC,Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.1,2619.25,No,25–48 Months,$70.01–$90,0.4612963122949802,46.13,No,Yes,Medium Risk,46,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
9227-LUNBG,Female,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.6,24.6,Yes,0–12 Months,$0–$35,0.5631613967394095,56.32,Yes,Yes,Medium Risk,56,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7997-EASSD,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),81.2,4965.1,No,49–72 Months,$70.01–$90,0.08489807600968564,8.49,No,Yes,Low Risk,8,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0730-KOAVE,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,No,25–48 Months,$90.01–$120,0.3792270122437623,37.92,No,Yes,Medium Risk,38,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
8975-SKGRX,Male,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.1,8310.55,No,49–72 Months,$90.01–$120,0.05681388506121081,5.68,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0678-RLHVP,Female,0,No,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,105.55,5682.25,No,49–72 Months,$90.01–$120,0.15125920677040158,15.13,No,Yes,Low Risk,15,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4315-MURBD,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,Yes,0–12 Months,$90.01–$120,0.45341663106833413,45.34,No,No,Medium Risk,45,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
2267-FPIMA,Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.4,4914.9,No,49–72 Months,$90.01–$120,0.2744155921356149,27.44,No,Yes,Low Risk,27,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1051-GEJLJ,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,27.55,No,0–12 Months,$0–$35,0.18432446622500834,18.43,No,Yes,Low Risk,18,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9734-YWGEX,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,Yes,0–12 Months,$90.01–$120,0.6408202726941663,64.08,Yes,Yes,High Risk,64,Priority 2 - High,Offer contract upgrade incentive; Offer security service retention package; Offer technical support retention package,Yes
2719-BDAQO,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.85,1625.65,Yes,13–24 Months,$90.01–$120,0.5215848408221191,52.16,Yes,Yes,Medium Risk,52,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5285-MVEHD,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.6,6068.65,No,49–72 Months,$90.01–$120,0.1342826671901225,13.43,No,Yes,Low Risk,13,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0379-DJQHR,Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),81.35,5398.6,No,49–72 Months,$70.01–$90,0.009763624498571993,0.98,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0781-LKXBR,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,Yes,0–12 Months,$90.01–$120,0.8153107452692556,81.53,Yes,Yes,High Risk,82,Priority 1 - Critical,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
5543-QDCRY,Male,0,No,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.4,234.85,No,0–12 Months,$35.01–$70,0.5398791175908658,53.99,Yes,No,Medium Risk,54,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0297-RBCSG,Male,0,No,No,19,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35,1231.85,No,13–24 Months,$35.01–$70,0.1197502776317269,11.98,No,Yes,Low Risk,12,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4694-PHWFW,Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,170.9,No,0–12 Months,$0–$35,0.1200474125079259,12.0,No,Yes,Low Risk,12,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0835-JKADZ,Female,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.25,7984.15,No,49–72 Months,$90.01–$120,0.10697425750926881,10.7,No,Yes,Low Risk,11,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
1907-UBQFC,Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65,Yes,0–12 Months,$70.01–$90,0.6380916648740146,63.81,Yes,Yes,High Risk,64,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
7508-SMHXL,Female,1,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.0,1288.3,No,13–24 Months,$70.01–$90,0.5321514182974719,53.22,Yes,No,Medium Risk,53,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
3865-YIOTT,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,7848.5,No,49–72 Months,$90.01–$120,0.12122867960740656,12.12,No,Yes,Low Risk,12,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5993-BQHEA,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,267.0,No,0–12 Months,$0–$35,0.06077385907212757,6.08,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6024-RUGGH,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.2,1798.9,No,49–72 Months,$0–$35,0.003598092774856021,0.36,No,Yes,Low Risk,0,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6513-EECDB,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,Yes,0–12 Months,$70.01–$90,0.7949471121003158,79.49,Yes,Yes,High Risk,79,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
3956-CJUST,Female,1,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.4,1643.55,No,13–24 Months,$70.01–$90,0.3600552280569476,36.01,No,Yes,Medium Risk,36,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
4079-WWQQQ,Male,0,No,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.55,4807.45,No,49–72 Months,$35.01–$70,0.014704206168503072,1.47,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6103-BOCOU,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.7,2193.0,No,25–48 Months,$70.01–$90,0.5757551975454168,57.58,Yes,No,Medium Risk,58,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5149-TGWDZ,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,104.55,2239.4,No,13–24 Months,$90.01–$120,0.30556588470872426,30.56,No,Yes,Medium Risk,31,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7471-WNSUF,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.15,1505.9,No,49–72 Months,$0–$35,0.010440904067221597,1.04,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8942-DBMHZ,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,255.35,No,0–12 Months,$0–$35,0.12536763741037207,12.54,No,Yes,Low Risk,13,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4301-VVZKA,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,1189.4,No,13–24 Months,$70.01–$90,0.6612341189901546,66.12,Yes,No,High Risk,66,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
9199-PWQVC,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),79.7,4786.15,No,49–72 Months,$70.01–$90,0.048695660910420976,4.87,No,Yes,Low Risk,5,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4824-GUCBY,Female,1,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.7,1820.9,No,13–24 Months,$70.01–$90,0.3373351969038467,33.73,No,Yes,Medium Risk,34,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
5393-HJZSM,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.3,2404.15,No,25–48 Months,$70.01–$90,0.05952027895186811,5.95,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
7074-IEVOJ,Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,Yes,0–12 Months,$70.01–$90,0.739873226363478,73.99,Yes,Yes,High Risk,74,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
9625-QSTYE,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.15,952.3,Yes,13–24 Months,$70.01–$90,0.5509847766318373,55.1,Yes,Yes,Medium Risk,55,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0862-PRCBS,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45,No,49–72 Months,$90.01–$120,0.06202960021057083,6.2,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
8812-ZRHFP,Female,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,86.45,2538.05,No,25–48 Months,$70.01–$90,0.23566545099320357,23.57,No,Yes,Low Risk,24,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5146-CBVOE,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.1,1212.85,No,13–24 Months,$70.01–$90,0.35821859392218885,35.82,No,Yes,Medium Risk,36,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
0454-OKRCT,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.6,2651.1,No,25–48 Months,$70.01–$90,0.055297794930985404,5.53,No,Yes,Low Risk,6,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
5787-KXGIY,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1304.8,No,49–72 Months,$0–$35,0.0020542909446982396,0.21,No,Yes,Low Risk,0,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4750-ZRXIU,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,Yes,0–12 Months,$70.01–$90,0.8063023389749064,80.63,Yes,Yes,High Risk,81,Priority 1 - Critical,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
4198-VFOEA,Female,0,No,No,12,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,33.6,435.45,No,0–12 Months,$0–$35,0.16309743050595948,16.31,No,Yes,Low Risk,16,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6630-UJZMY,Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,No,0–12 Months,$70.01–$90,0.8115036059668068,81.15,Yes,No,High Risk,81,Priority 1 - Critical,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
5709-LVOEQ,Female,0,Yes,Yes,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.85,0.0,No,0–12 Months,$70.01–$90,0.08552102125260638,8.55,No,Yes,Low Risk,9,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6400-BWQKW,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.05,434.5,Yes,0–12 Months,$70.01–$90,0.6369978180891401,63.7,Yes,Yes,High Risk,64,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer technical support retention package,Yes
2692-AQCPF,Female,0,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.05,7118.9,No,49–72 Months,$90.01–$120,0.15555088435526215,15.56,No,Yes,Low Risk,16,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0347-UBKUZ,Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,320.45,No,13–24 Months,$0–$35,0.10990489924275469,10.99,No,Yes,Low Risk,11,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0835-DUUIQ,Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.05,531.55,No,13–24 Months,$0–$35,0.028593221144281877,2.86,No,Yes,Low Risk,3,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
0811-GSDTP,Female,0,No,Yes,13,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.15,382.2,No,13–24 Months,$0–$35,0.33427680613333766,33.43,No,Yes,Medium Risk,33,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7567-ECMCM,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.85,2001.0,No,13–24 Months,$70.01–$90,0.4906832439673435,49.07,No,Yes,Medium Risk,49,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6115-ZTBFQ,Female,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.5,4919.7,No,49–72 Months,$35.01–$70,0.010449151160629567,1.04,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6353-BRMMA,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,5645.8,No,49–72 Months,$90.01–$120,0.2696846189955407,26.97,No,Yes,Low Risk,27,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
6680-WKXRZ,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.4,215.8,Yes,0–12 Months,$70.01–$90,0.5810039187117715,58.1,Yes,Yes,Medium Risk,58,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
6231-WFGFH,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,77.6,No,0–12 Months,$0–$35,0.19685408961711942,19.69,No,Yes,Low Risk,20,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
9904-EHEVJ,Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.35,2896.55,No,25–48 Months,$90.01–$120,0.5006505921660683,50.07,Yes,No,Medium Risk,50,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
7028-DVOIQ,Male,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,Yes,25–48 Months,$90.01–$120,0.6825135103926975,68.25,Yes,Yes,High Risk,68,Priority 2 - High,Offer contract upgrade incentive; Promote automatic payment enrollment; Offer security service retention package; Offer technical support retention package,Yes
6169-PPETC,Male,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,759.35,No,25–48 Months,$0–$35,0.009584348360439367,0.96,No,Yes,Low Risk,1,Priority 4 - Low,Maintain relationship and monitor satisfaction,No
4208-UFFGW,Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.95,85.15,Yes,0–12 Months,$35.01–$70,0.3773700624471664,37.74,No,No,Medium Risk,38,Priority 3 - Medium,Monitor engagement and provide targeted retention offer,No
